"","V1","V2"
"doc_id","activists","skeptics"
"klimadramatik","0","1"
"klimaethik","0","1"
"klimaverteidigung","0","1"
"klimadepression","0","1"
"klimahoax","0","1"
"klimapropagandafilm","0","2"
"klimaleidenschaftlichkeit","0","2"
"klimaverwirrung","0","1"
"klimatheater","0","1"
"klimatheologie","0","1"
"klimaabzockerei","0","1"
"klimaprotestler","0","1"
"klimaglaubensbekenntnis","0","1"
"klimakatechismus","0","1"
"klimaerzählung","0","1"
"klimagefasel","0","1"
"klimaintelligenz","0","1"
