original;pro_mods;con_mods
klimahysterie;['gesteuert', 'emotional'];['mehr', 'immer', 'aufschaukelnd', 'wachsend', 'überbietend', 'kaum', 'hochgespielt', 'wieder', 'eimal', 'verordnet', 'aktuell', 'autoritätsgläubig', 'reinster', 'global', 'vorhanden', 'politisch', 'politischideologisch', 'doch', 'vielleicht', 'heutig', 'vollphobisch', 'geschürt', 'künstlich', 'momentan', 'hochgespielt', 'wieder', 'eimal', 'recherchiert', 'gut', 'manisch', 'jetzig', 'aktuell', 'aktuell', 'aufgekommen', 'jetzig', 'dumm', 'dumm', 'derzeitig', 'überschäumend', 'wieder', 'einmal', 'selbst', 'doch', 'vielleicht', 'ideologiedurchsetzt', 'teuer', 'extrem', 'heutig', 'deutsch', 'zunehmend', 'verstärkt']
klimahysteriker;['wahr', 'irrational'];['selbst', 'ernstmeinend', 'kein', 'darum', 'weniger', 'desto', 'noch', 'beamtet', 'sogar', 'beide', 'arm', 'sorgfältig', 'vieler']
klimahölle;;[]
klimahüpfer;;['allerdings', 'alleine']
klimaideologie;;['eigen', 'menschenverachtend', 'wachsend', 'unsinnig']
klimaikone;;[]
klimainsider;;[]
klimaintelligenz;;[]
klimairrsinn;;['sicher', 'ungerührt']
klimajünger;[];[]
klimakabarett;['Berliner'];[]
klimakaiserin;;[]
klimakamarilla;;[]
klimakampf;;[]
klimakanzler;['echt', 'damalig', 'auserkorend', 'medial', 'vorneweg', 'ehemalig'];['radikal', 'rotgrün']
klimakanzlerin;['damalig', 'auserkorend', 'medial', 'vorneweg', 'ehemalig'];['radikal', 'rotgrün']
klimakarawane;;[]
klimakasteiung;;[]
klimakataklysmus;;['kommend']
klimakatastrophentheorie;;[]
klimakatechismus;;[]
klimaketzer;;[]
klimakirche;;['wieder', 'immer', 'gesamt', 'wahrscheinlich']
klimaklamauk;;['medial', 'politisch', 'unsachlich', 'politisch']
klimaklempner;;[]
klimakleriker;;[]
klimakollekte;;['kirchlich']
klimakolonialismus;[];
klimakommissar;[];[]
klimakompetenz;;['viel']
klimakonfusion;;[]
klimakonklave;;['jung']
klimakonsens;[];['angeblich']
klimakonsortium;['deutsch', 'extrem', 'deutsch', 'deutsch', 'deutsch', 'deutsch', 'deutsch', 'deutsch'];['deutsch']
klimakontrolle;;['unbescheiden', 'höchst']
klimakontroverse;;[]
klimakreationismus;;[]
klimakreuzzug;;[]
klimakrieg;;['kein']
klimakrieger;;['kein']
klimakritik;;[]
klimakritiker;;[]
klimakult;;['mehr', 'erschwinglich']
klimakäse;;['weiterhin', 'exklusiv']
klimakönigin;;['']
klimalaie;;[]
klimaleidenschaftlichkeit;;['groß']
klimaleugner;['völlig', 'rechtsradikal', 'gerade', 'also', 'irrational', 'ökonomisch', 'sogenannter', 'einzeln', 'deutsch', 'vieler', 'auffällig'];['genannt', 'einflussreich', 'einiger', 'wirklich', 'heutig', 'sicher', 'kein', 'wirklich', 'bezahlt', 'ungeeignet', 'wohl', 'wahr', 'wahr', 'irreführend', 'notorisch', 'kein', 'genannt', 'kein', 'unwissend', 'vermeintlich', 'uneinsichtig', 'typisch', 'nur', 'heute', 'gewalttätige', 'nur', 'charmant', 'durchaus', 'rechter', 'kein']
klimaleugnung;['verschwörungslogisch'];['kämpferisch']
klimalobby;;[]
klimalösegeld;;[]
klimalüge;[];['nützlich', 'präsentiert', 'wieder', 'wirklich', 'deutsch', 'simpel']
klimalügner;;['vieler']
klimamacher;[];
klimamafia;;['Zürcher', 'gebürstet']
klimamahnwache;[];
klimamanipulation;;[]
klimamantra;;[]
klimamilliardär;;['erster', 'erster']
klimamisere;;[]
klimamonster;;['unmöglich']
klimamutti;;[]
klimamärchenonkel;;[]
klimanationalismus;[];['deutsch']
klimanonsens;;[]
klimanotfall;;['kein', 'kein']
klimanotlage;;['sogenannter']
klimanotstandsregierung;['global', 'autokratisch', 'gut', 'noch', 'gut', 'noch'];
klimaorthodoxie;;[]
klimapanik;['initiiert'];['schon', 'reversibel', 'jederzeit', 'öffentlich', 'unhaltbar', 'wissenschaftlich', 'ungeniert', 'kein']
klimapanikmache;;[]
klimapapst;;[]
klimaparadies;;[]
klimapflicht;;[]
klimaplanwirtschaft;;[]
klimapolemik;;[]
klimapopulismus;;[]
klimaprediger;;[]
klimapresse;;[]
klimaprofessor;;['selbst', 'ökokatastrophal']
klimaprofiteur;;[]
klimapropaganda;;['erschreckend', 'angetrieben', 'grün', 'konsequent', 'wohl', 'üblich', 'sinngemäß', 'gelungen', 'gut', 'wieder']
klimapropagandafilm;;['sinngemäß', 'gelungen']
klimapropagandist;;['handelnd', 'dummer', 'nur', 'aber', 'dafür', 'erfolgreich', 'höchst']
klimaprotestler;;[]
klimapseudowissenschaft;;['politisiert']
klimapäckchen;['ausreichend'];
klimapäpstin;;[]
klimaquatsch;;[]
klimarealismus;;['neu']
klimarealist;[];['vieler', 'niederländisch', 'erster', 'namhaft', 'überhaupt', 'international', 'groß']
klimareligion;;[ 'grün', 'antidemokratisch', 'rotgrün', 'militant', 'schwachsinnig', 'richtig', 'grün', 'richtig', 'inzwischen']
