,pattern,keyword,concept,origin
491,klimaretter,"Nun kam der Atomwirtschaft auch noch der plötzliche Schwenk in der Klimapolitik zur Hilfe denn Atomstrom ist fast CO2 frei so konnten sie das an die Öffentlichkeit tragen , dass das der globale Klimaretter sein wird .",person,P2022
498,klimaretterin,"Hallo ihr engagierten KlimaretterINNEN , als Alt68erÖkoOpa unterstütze ich euren Protest aus vollem Herzen !",person,P2022
497,klimaretterin,"Gruß Swen Bär , Hannover Hallo ihr engagierten KlimaretterINNEN , als Alt68erÖkoOpa unterstütze ich euren Protest aus vollem Herzen !",person,P2022
512,klimaschänder,"Wer das Klimapaket als „ Bankrotterklärung "" verurteilt , hat nicht verstanden und will nichts davon wissen , welche gemeine Räson dies Programm leitet und muss sich die Frage gefallen lassen , unter dem Signum des Ungenügendem des Klimapapiers letztlich die Gemeinheiten desselben m i t z u t r a g e n , welche sich allgemein wie folgt charakte- risieren lassen : Sowohl den amtlichen Klimarettern als auch ihren Kritikern , denen die klimapolitischen Maßnahmen nicht weit genug gehen , ist gemeinsam und damit als Skandal festzuhalten , dass sie unisono die Menschen , ob Betroffene / Opfer der kapitalistisch induzierten Klimazerstörung oder deren Betreiber in Gestalt der Verarbeiter fossiler Brennstoffe oder Hersteller / Verkäufer von motorisierten CO2Schleudern oder anderer mit fossilen Stoffen betriebener Gerätschaften wie Heizungen , als Klimaschänder in eine Reihe stellen .",person,P2022
520,klimaskeptiker,"Toralf Staud aus unserem klimafakten.de Team mit der Leiterin des ARDWetterkompetenzzentrum Silke Hansen mit Moderator Michail Paweletz im faktenfinderPodcast : Mit welchen Strategien versuchen "" Klimaskeptiker "" ihre unwissenschaftlichen Thesen zu verbreiten ?",person,P2022
521,klimaskeptiker,"Heimatschutz und Heimatversessenheit im Anthropozän - Richter , Simon : Die USA in den Zeiten des Trump : Klimawandelleugner an der Macht - Levi , Sebastian : Klimaskeptiker im Globalen Süden - Zwischen Nationalismus und legitimen Bedenken - Greffrath , Mathias : Geerdete Utopien - Heimat als Projekt , den Raum zu besiedeln , in dem wir immer schon sind - Sommer , Jörg : Das diffuse Dreieck : Heimat , Kultur , Nachhaltigkeit - Ibisch , Pierre L . : Eine Ökologie gegen Rechts - Von Ökosystemen Unsicherheit und Demut lernen - Brand , Ulrich ; Wissen , Markus : Nicht mehr auf Kosten anderer !",person,P2022
519,klimaskeptiker,"Letztlich ein weiteres Greta- , oder FFFBashing , auf unterschiedlichsten Ebenen , incl . des irren Kampfes gerade der Klimaleugner ( AfD ) und Klimaskeptiker ( Springerverlag , die Welt ) GEGEN eine Satire die ebenfalls letztlich ein Greta / FFFBashing zum Ausdruck brachte .",person,P2022
522,klimaskeptiker,"Selbst bezeichnen sie sich als „ Klimaskeptiker "" ( das Phänomen betrifft meist Männer * ) .",person,P2022
517,klimaskeptiker,"Klimaskeptiker Jene akzeptieren die Datenlage nur insoweit dass eine zunehmende Erderwärmung stattfindet , bestreiten aber mit meist abstrusen Theorien deren Zusammenhang mit menschlichen Aktivitäten ( also den „ anthropogenen Klimawandel "" an sich ) , wie etwa dem Zusammenhang mit THG , insbesondere dem CO .",person,P2022
516,klimaskeptiker,"Aus dem Inhalt : Faktencheck zum Konsens der Klimaforschung ; Warum unser Gehirn darauf programmiert ist , den Klimawandel zu ignorieren ; Widerlegen - aber richtig ; Eckart John : „ Ich war einmal ein ‚ Klimaskeptiker ' "" ; "" Wir müssen heraus aus unserer Blase !",person,P2022
524,klimaskeptiker,Ein interessantes Beispiel zeigt sich bei den sogenannten Klimaskeptiker * innen .,person,P2022
527,klimastreiter,"ES EILT Hallo Klimastreiter ( und Streikbrecher ) , Ich möchte mich bei allen Jugendlichen , Kindern , Eltern und Großeltern bedanken für den großartigen KlimastreikEinsatz !",person,P2022
532,klimaverbrecher,Denn letztere kann mit ihren Streiks die Klimaverbrecher direkt in die Zange nehmen .,person,P2022
536,klimazerstörer,Klimazerstörer wie RWE enteignen und verstaatlichen .,person,P2022
537,klimazerstörer,RWE Hauptversammlung RWE ist der größte Klimazerstörer Europas .,person,P2022
12,klimaaktivist,"Spricht man Klimaaktivisten darauf an , erhält man gewöhnlich zur Antwort , der reale Sozialismus des früheren Ostblocks sei kein „ wahrer Sozialismus "" gewesen .",person,C2022
69,klimaaktivist,"Vielleicht hat dem jungen Klimaaktivisten noch niemand erzählt , dass diese natürlichen Schwankungen im Klimasystem sowie die Sonnenflecken nicht menschengemacht sind ?",person,C2022
61,klimaaktivist,"Seit Xi Jinping vor acht Jahren Generalsekretär der Kommunistischen Partei Chinas wurde , hat fast jeder , der glaubte , Chinas kommunistisches Regime würde nach innen freundlicher und nach außen weniger bedrohlich werden , seine Meinung revidiert - jeder , das heißt , außer den Klimaaktivisten .",person,C2022
35,klimaaktivist,"Link : Mit dem Teufel im Bunde ( No Climate Free Speech , Part ) Klimaaktivisten haben das ehrwürdige Recht auf freie Meinungsäußerung umdefiniert .",person,C2022
85,klimaaktivist,"Erst hier merkt der aufmerksame Leser , dass es um den trefflichen Klimaaktivisten Connolley massiven Ärger gegeben haben muss .",person,C2022
79,klimaaktivist,"Ein hundertprozentiger Klimaaktivist , dieser NobelpreisSchmidt .",person,C2022
36,klimaaktivist,"Ist es das , was die KlimaAktivisten so unbedingt nachahmen wollen ?",person,C2022
40,klimaaktivist,"„ The fakes are settled "" , wie es bei uns Klimaaktivisten heißt .",person,C2022
49,klimaaktivist,"selbst der Klimaaktivist Joe Romm ( siehe dazu seine Webseite ) , daß der Anstieg seit ( übrigens bemerkenswert erst hat der IPCC gesagt , der „ Temperaturanstieg "" seit könnte nur durch CO2 erklärt werden , jetzt ziehen sie sich zurück auf das Jahr , da war wohl die pause mit keinem Temperaturanstieg von 1950- zu lang ) durch die El Ninos 198689 und / zuerklären ist .",person,C2022
58,klimaaktivist,"Ein ganz schlimmes Beispiel lieferte dazu ein Gewinner des alternativen Nobelpreises : EIKE : [ ] Der Krieg des Klimas gegen die Menschheit Über den weltweit bekanntesten ( und wohl aggressivsten ) Klimaaktivisten Bill McKibben … der ohne eine Spur von Belegen behauptete : … „ Der Feind ( gemeint ist der angeblich menschengemachte Klimawandel ) setzt sogar BioWaffen ein , um psychologischen Terror zu verbreiten : Der ZikaVirus lässt auf einem ganzen Kontinent die Köpfe von Neugeborenen schrumpfen . . .",person,C2022
80,klimaaktivist,"Alarmisten haben viel ausgegeben für wenig Nutzen Klimaaktivisten beherrschen viele Machtzentren in Amerika und im Westen : Fast jeder Berufsverband von Wissenschaftlern , die meisten westlichen Regierungen , wie auf ihren speziellen Websites zu sehen in : Kanada , Australien , Europäische Union und die Vereinigten Staaten ( EPA , NASA , Department of Energy und viele weitere föderale , staatliche und lokale Einheiten ) .",person,C2022
70,klimaaktivist,Tatsächlich bin ich seit Jahren Klimaaktivist und seit mehr als Jahren Umweltaktivist .,person,C2022
63,klimaaktivist,"« Michael Shellenberger , der ExAlarmist , der » Held der Umwelt « , der vor der UN auftrat , einst radikaler Klimaaktivist , gibt sich geläutert .",person,C2022
68,klimaaktivist,Quelle ] KlimaAktivisten sehen einen konspirativen Plan hinter den Terrorangriffen in Paris .,person,C2022
55,klimaaktivist,"„ Klimaforscher "" wie Reto Knutti sind keine seriösen Forscher , sondern Klimaaktivisten .",person,C2022
67,klimaaktivist,"Das ist so , als würden wir morgen erfahren , HansWerner Sinn wäre einer der führenden Klimaaktivisten .",person,C2022
33,klimaaktivist,"Klimaaktivisten sind so überzeugt von der Rechtschaffenheit ihrer Sache , dass sie es schwierig finden sich vorzustellen , dass irgendjemand nicht aufrichtig mit ihrer Analyse übereinstimmen könnte .",person,C2022
38,klimaaktivist,"Dieser Artikel beschreibt meines Erachtens nicht das Problem der Klimaaktivisten , sondern das gesamtgesellschaftliche Grundproblem , in welchem wir derzeit leben .",person,C2022
29,klimaaktivist,"Aber anders als diese fiktiven Monster sind die KlimaMonster wirklich gefährlich - jedenfalls haben Sprecher der UN , Mitarbeiter prominenter amerikanischer Politiker und junge KlimaAktivisten immer neu wiederholt , dass es bei dem ganzen fingierten KlimaBetrug nicht wirklich darum geht , die Erde zu retten oder den Klimawandel zu verhindern ( was in jedem Falle anmaßend und unmöglich ist ) , sondern vielmehr darum zu kontrollieren , wie durchschnittliche Menschen leben sollen mittels Kontrolle ihres Lebensstils und ihres Verhaltens .",person,C2022
45,klimaaktivist,"Dann , im Jahr , versammelte sich die „ internationale Gemeinschaft "" der UNOKlimaaktivisten in Paris , um eine Formulierung auszuarbeiten , die von den entwickelten Ländern verlangt , ihren Verbrauch an fossilen Brennstoffen zu reduzieren , die Ziele für die Treibhausgasemissionen alle fünf Jahre zu verschärfen und innerhalb weniger Jahrzehnte „ kohlenstoffneutral "" zu werden - um ein von Menschen verursachtes Klimachaos zu verhindern , das von Computermodellen vorhergesagt , aber weder durch die Erdgeschichte noch durch Beweise aus der realen Welt gestützt wird .",person,C2022
42,klimaaktivist,) nach Klimaaktivisten oder CO2Jüngern ausrichten .,person,C2022
4,klimaaktivist,"Es wird unter dem dramatischen CO2Regime zu Völkerwanderungen kommen , sehr viele Menschen werden verarmen , die medizinische Versorgung wird schlechter wegen fehlender industrieller Leistungsfähigkeit- aber ok- man fühlt sich halt gut als Klimaaktivist , „ der die Aufgabe "" annimmt … Scwachsinn , der moderne Homo Sapiens hat sich vor Jahren in Europa ausgebreitet , wobei Europa bis zu den Alpen mit einer Eisschcht bedekt war .",person,C2022
83,klimaaktivist,"Verpasste Gelegenheit Norwegens Entscheidung rief gemischte Gefühle bei Klimaaktivisten hervor , die erwarteten , dass Oslo ‚ aufs Ganze gehen ' würde .",person,C2022
37,klimaaktivist,"Was will man erreichen , wenn Klimaaktivisten Despoten und Unterdrückern nacheifern ; wenn sie einen unpersönlichen Stil übernehmen , der die Menschen garantiert vor den Kopf stößt ?",person,C2022
50,klimaaktivist,"Unsinn sollte ein Fachportal erkennen und nicht wiederholen Vor kurzem kam die Meldung über eine bisher unentdeckte , in den SatellitenPegeldaten „ schlummernde "" , zusätzliche PegelAnstiegskomponente , welche das Wissenschaftsteam ( eines ausgewiesenen Klimaaktivisten ) entdeckt haben will [ ] .",person,C2022
17,klimaaktivist,"Das müssten eigentlich auch die KlimaAktivisten wissen , wenn sie im BiologieUnterricht aufgepasst haben .",person,C2022
71,klimaaktivist,Trotzdem verwenden die Klimaaktivisten bei WIKIPEDIA diese 1999erArbeit von Phil Jones als angeblichen Nachweis für die C aus dem natürlichen Treibhauseffekt .,person,C2022
54,klimaaktivist,"Erinnerung an den BBCSkandal im Jahr Dies erinnert an den bekannten BBCSkandal , als die BBC einen veröffentlichten wetterbezogenen Artikel veränderte , um mehr klimaalarmistisch zu sein , nach dem Wechsel einiger EMails mit Jo Abbess , einem Klimaaktivisten , der sich danach damit brüstete .",person,C2022
21,klimaaktivist,Nur Gedankenspiele oder schon Machtphantasien der militanten Klimaaktivisten ?,person,C2022
46,klimaaktivist,"Generell stelle sich die Frage , wie sich journalistische Unabhängigkeit und die Zusammenarbeit mit KLimaaktivisten unter einen Hut bringen lassen .",person,C2022
78,klimaaktivist,"Notfalls kann auch die Polizei einschreiten , sollten von den AntifaKlimaaktivisten tatsächlich Leute gewalttätig werden .",person,C2022
72,klimaaktivist,"Und es ist der Grund , warum KlimaAktivisten Kampagnen lostreten und zur Pflanzung von Bäumen drängen .",person,C2022
28,klimaaktivist,Hinsichtlich der ExtremSzenarien in dem Report schrieb Pielke : Folgende Quelle liegt der SchlagzeilenSchlussfolgerung des NCA bzgl . eines Rückgangs des USBIP um % zugrunde : Diese Zahl ist abgeleitet aus einer von Tom Steyer finanzierten Studie ( Steyer ist ein milliardenschwerer Geldgeber der Demokraten und außerdem KlimaAktivist ) .,person,C2022
84,klimaaktivist,Also Bauchgefühl und Erleben des Volkes steht im krassen Gegensatz zu den offiziellen Verlautbarungen der Klimaaktivisten .,person,C2022
47,klimaaktivist,"Mehrmals wurde über Aktivisten berichtet , welche bewusst apokalyptische Aussagen manipulieren : EIKE : Selbsternannte Klimaapostel sägen an Deutschlands Klimaeichen EIKE : Der Krieg des Klimas gegen die Menschheit , Über den weltweit bekanntesten Klimaaktivisten Bill McKibben klimaretter.info : [ ] Klimaflüchtlinge , die nicht flüchten Leider sind beim Klimawandel falsche Informationen dank unserer Medien so „ gängig "" , dass selbst Personen , welche es besser wissen könnten , daran glauben , da es Ihnen an einer wichtigen Grundeigenschaft wissenschaftlichen Arbeitens - dem Hinterfragen - mangelt .",person,C2022
65,klimaaktivist,"Shellenberger weist auf die enormen finanziellen Mittel der Klimaaktivisten hin : Die beiden größten grünen Gruppen , der national Resources Defense Council und der environmental Defense Fund , verfügen zusammen über ein Jahresbudget von Millionen Dollar und stellen damit das Budget der beiden größten Skeptikergruppen - des Competitive Enterprise Institute und des Heartland Institute - in den Schatten , die beide zusammen nur etwa Millionen Dollar Etat hätten.Er beschuldigt in seinem Buch » Apocalypse Never - Warum Umweltalarm uns alle schadet « Klimaaktivisten , die Öffentlichkeit in die Irre zu führen , und erklärt ausdrücklich , dass politische Lösungen wie die » grüne Energie « die Sache noch schlimmer machen .",person,C2022
41,klimaaktivist,"„ Klimaaktivist "" die Wahrheit über unser „ normales "" Wetter in und damit die Wahrheit , dass dies so rein gar nichts mit einem menschengemachten Klimawandel zu tun hat , nicht gefällt .",person,C2022
23,klimaaktivist,"Sie wissen doch ganz genau , dass die Einnahmen aus einer CO2Steuer nicht an die KlimaAktivisten gehen .",person,C2022
75,klimaaktivist,"Eines der ersten Beispiele dieser Art von „ Adjustierungen "" wurde im Jahre aufgedeckt , und zwar durch den Statistiker Steve McIntyre , als dieser eine Studie aus dem Jahr von James Hansen entdeckt hatte , also von dem Wissenschaftler , der viele Jahre lang das GISS geleitet hatte ( und der später zu einem fanatischen Klimaaktivist geworden ist ) .",person,C2022
5,klimaaktivist,"Korrupte Klima "" wissenschaftler "" , verlogene Politiker , hirngewaschene Trottel ( innen ) … Diskussion nutzlos Sie ist sogar notwendig , und zwar aus der Sicht der Klimaaktivist * Innen .",person,C2022
53,klimaaktivist,Klimaaktivist * innen und Antifaschist * innen zogen wir vor die Wappenhalle in der Messestadt West um ein paar Grußworte zu überbringen .,person,C2022
59,klimaaktivist,"Mit schlecht angewandter Statistik lässt sich aber das Gegenteil „ zeigen "" ( Teil ) [ ] EIKE : Munich Re Presseinfo : Natur fordert mehr Opfer - Naturkatastrophen wie Erdbeben , Überschwemmungen und Hitzewellen haben deutlich mehr Menschenleben gekostet als im Vorjahr [ ] EIKE : Der Krieg des Klimas gegen die Menschheit Über den weltweit bekanntesten Klimaaktivisten Bill McKibben [ ] Zeit Online .",person,C2022
48,klimaaktivist,"„ Hallo ihr PolitikerKumpel , Profiteure von grüner Energie , machthungrigen UNBürokraten und ahnungslosen KlimaAktivisten , Greenpeace hat einen Platz für euch !",person,C2022
44,klimaaktivist,"Es war McIntyre , der im Jahre die gesamten nachträglichen Adjustierungen der USTemperaturen zwischen und enthüllt hatte , die vom GISS ( damals geleitet vom ausgesprochenen Klimaaktivisten James Hansen ) zusammengestellt worden waren .",person,C2022
56,klimaaktivist,"Das wird den meisten der Leser * Innen hier bekannt sein , nur nicht den Klimaaktivist * Innen .",person,C2022
26,klimaaktivist,"Zu dieser Zeit verwandelten sich Umweltschützer in Klimaaktivisten , da die Behauptungen des IPCC ihre Ideologie nützlicherweise unterstützten . leitete Strong den UNWeltgipfel in Rio de Janeiro .",person,C2022
10,klimaaktivist,"Klimaaktivisten arbeiten hinter den Kulissen unermüdlich daran , diese Weltsicht zur Realität von Jedermann zu machen .",person,C2022
19,klimaaktivist,"Zweitens setzen die Forderungen der KlimaAktivisten sich nicht wegen der besseren Argumente durch , sondern weil sie öffentlich mehr Druck ausüben .",person,C2022
2,klimaaktivist,"Das ist nichts , was "" Klimaaktivisten "" zur Kenntnis nehmen , nichts , was angebliche "" Wissenschaftsjournalisten "" aufarbeiten , nicht einmal etwas , was FachZeitschriften der Physik drucken wollen , nicht weil es keine Physik wäre , nein , an der Methode und der Durchführung gibt es nichts auszusetzen , aber am Ergebnis .",person,C2022
81,klimaaktivist,Die Daten von Gallup vom März zeigen das Ergebnis der 30jährigen Bombardierung durch reich finanzierte Propaganda von Klimaaktivisten in Amerika .,person,C2022
60,klimaaktivist,"Gleichzeitig bestehen sie darauf , dass hungernde und unter Energiemangel leidende Familien ihren Lebensstandard danach ausrichten , was ihnen von Klimaaktivisten mit Unterstützung durch Wind , Solar und Biotreibstoffe diktiert wird .",person,C2022
9,klimaaktivist,"Wenn es jedoch nach den Klimaaktivisten geht , werden alle anderen Optionen ausgeschlossen .",person,C2022
82,klimaaktivist,") Nachfolgend , auch als Startpunkt für jedermanns eigene weitere Befassung mit dem Thema , kritische Hinweise zu den zentralen zehn Punkten der KlimaAktivisten : - ( „ Global warming "" als „ unnatürliche "" Entwicklung ) .",person,C2022
62,klimaaktivist,"Daß die KlimaAktivisten keine Angst vor dem angeblich sicheren Weltuntergang haben , zeigt sich klar an ihrem Verhalten .",person,C2022
15,klimaaktivist,"Das wissen viele der KlimaAktivisten selbst nicht , wenn sie darauf angesprochen werden .",person,C2022
24,klimaaktivist,"Eines lässt sich aber recht schnell feststellen : Dass die aktuell gemeldete Temperatur von C die höchste wäre , ist eine reine - durch überhaupt nichts begründbare - Vermutung von Klimaaktivisten und Klimaretter.Info Einvernehmlich und von der WMO anerkannt gilt das Jahr mit C als die heißeste mit einer Station gemessene Temperatur .",person,C2022
34,klimaaktivist,Viele Klimaaktivisten scheinen sich primär auf emotionale Gewissheit zu stützen .,person,C2022
32,klimaaktivist,Klimaaktivisten sind keine schlechten Menschen .,person,C2022
57,klimaaktivist,"Unter Klimaaktivisten hat es Methode , einfach Behauptungen in den Raum zu stellen … weil sie wissen , dass solche von den Medien gerne und mit Eifer publiziert werden .",person,C2022
51,klimaaktivist,"Diese Anwürfe werden beispielsweise in einem Papier der bekannten Klimaaktivisten John Cook und Naomi Oreskes erhoben , wobei man pikanterweise gleich zu Anfang den Vorwurf erhebt , Exxon Mobil habe schon vor mehr als Jahren genau über die angeblich bevorstehende Klimakatastrophe Bescheid gewusst .",person,C2022
43,klimaaktivist,"] Er sagte , Trump inspirierte und motivierte tatsächlich mehr Klimaaktivisten .",person,C2022
64,klimaaktivist,Ich bin seit Jahren ein Klimaaktivist und seit Jahren ein Umweltschützer .,person,C2022
25,klimaaktivist,"Es ist deshalb vollkommen unverständlich , wie Klimaretter.Info auf die Idee kommt , alleine weil jemand „ davon spricht "" und ein Klimaaktivist twittert , diese Messung vom Juli als Temperaturrekord zu melden .",person,C2022
6,klimaaktivist,Das ist ein Problem für KlimaAktivisten .,person,C2022
76,klimaaktivist,Harald Lesch als lupenreinen Klimaaktivisten und Propagandisten zeigt .,person,C2022
16,klimaaktivist,Das halten KlimaAktivisten für viel und sehen darin eine Bedrohung .,person,C2022
31,klimaaktivist,KlimaAktivisten verhalten sich wie Tyrannen .,person,C2022
93,klimaaktivistin,Die schwedische Klimaaktivistin vertritt das hegemoniale Narrativ und wiederholt die politischen PRPhrasen wie ein Papagei ; ergänzt durch ein paar inhaltsleere Emotionalisierungen .,person,C2022
92,klimaaktivistin,"Das 16jährige KinderOrakel aus Schweden hat den Inhalt wohl kaum gelesen - da der Langbericht scheinbar nicht veröffentlicht ist - , aber was solls : Ihre Botschaft kann nur lauten : WELT : Greta Thunberg hält Berichterstattung über Artenbericht für unzureichend … Die schwedische Klimaaktivistin Greta Thunberg hält die Aufmerksamkeit der Medien für den UNBericht zur verheerenden Lage der Artenvielfalt für völlig unzureichend .",person,C2022
87,klimaaktivistin,Dieses schreibt eine Klimaaktivistin aus Bangla Desh .,person,C2022
94,klimaaktivistin,"Und es ist sicherlich nicht Greta Thunberg . people are talking about this Die gefeierte Klimaaktivistin Greta Thunberg hat damit gedroht , Facebook zu verlassen , wenn die SocialMediaPlattform ihre Kritiker nicht zum Schweigen bringt . [ werden wohl mehr ihre „ Hintermänner und -frauen "" sein ] Übersetzt und zusammengestellt durch Andreas Demmig Ergänzung : Durch meine Arbeiten an der Übersetzung , habe ich mitbekommen , dass Naomi Seibts .",person,C2022
91,klimaaktivistin,Dok wirft einen Blick in die Welt der Feinde der jungen Klimaaktivistin .,person,C2022
86,klimaaktivistin,"Anstatt mit einem Flugzeug in wenigen Stunden von Nordamerika nach Europa zurück zu fliegen , schiffte sich die Klimaaktivistin Greta Thunberg am .",person,C2022
88,klimaaktivistin,Was ist die schwedische KlimaAktivistin Greta Thunberg denn nun : Heldin oder Nervensäge ?,person,C2022
228,klimaalarmist,"Eine weitere wichtige „ gute Nachricht "" , die die Klimaalarmisten im Jahr als Tragödie darzustellen versuchten , findet sich in den zahlreichen Nachrichten über einen Bericht der Weltbank , dem zufolge Wasserknappheit im Nahen Osten - verursacht durch den vom Menschen verursachten Klimawandel - die Pflanzenproduktion bedroht .",person,C2022
186,klimaalarmist,"Leider vor fast leeren Reihen , weil sich selbst in der Weltuntergangssekte der Klimaalarmisten wohl kaum jemand für noch eine Predigt mit dem üblichen immer gleichen Inhalt interessierte .",person,C2022
190,klimaalarmist,"Es ist eigentlich nur noch peinlich , wenn KlimaAlarmisten daraus schließen : Es wird kälter , weil es wärmer wird ! ?",person,C2022
166,klimaalarmist,"Vereinfacht ausgedrückt , der angenommene Wert der CO2Klimasensivität ist der zentrale und wichtigste Punkt der gesamten Diskussion und Auseinandersetzung zwischen den KlimaAlarmisten und KlimaSkeptikern .",person,C2022
157,klimaalarmist,"Klimaalarmisten besteht darin , daß bisher kein Beweis bzgl . des sog .",person,C2022
172,klimaalarmist,"Nach den heiligen Lehren und meist unsinnigen Apokalypsen der KlimaAlarmisten von IPCC , PIK & Co . sollen die Sommer in Deutschland ja immer trockener werden .",person,C2022
159,klimaalarmist,"Demzufolge können Klimaalarmisten , die CO2 verteufeln , aber die Kernenergie nicht vorantreiben , nicht ernst genommen werden .",person,C2022
209,klimaalarmist,"„ Extreme Kälte : Kanadischer Zoo holt sogar die Pinguine nach drinnen "" Warum haben die Klimaalarmisten so einen großen Erfolg ?",person,C2022
135,klimaalarmist,"Die Tatsache , dass dieser rein politisch entwickelte Betrug befeuert wird durch Projektionen von betrügerischen und längst gescheiterten Computermodellen , von denen das IPCC schon vor langer Zeit behauptet hatte , sie seien nicht möglich , wird unehrlicherweise seitens der KlimaAlarmisten und der Medienpropaganda der Öffentlichkeit vorenthalten .",person,C2022
149,klimaalarmist,Diese einfach zu belegende und dazu auch noch eindeutige Erkenntnis ist für unsere Klimaalarmisten jedoch schon alleine aus ideologischen Gründen nicht entfernt akzeptabel .,person,C2022
132,klimaalarmist,"KlimaAlarmisten haben emsig und effektvoll daran gearbeitet , die Lehre ordentlicher Wissenschaft , wissenschaftlicher Verfahren und kritischem Denken in den Klassenräumen Amerikas zu unterminieren - an Grund- und Oberschulen sowie an Colleges .",person,C2022
165,klimaalarmist,Kaum zu beantworten für die KlimaAlarmisten .,person,C2022
177,klimaalarmist,"Selbst zu glauben , alle Klimaalarmisten sind durch die Bank Lügner , führt automatisch zu einer falschen Bekämpfungsstrategie dieser Ängste !",person,C2022
142,klimaalarmist,"Hier wollen Klimaalarmisten unter sich bleiben und die Ätherhoheit des NDR ausnutzen , um die Bevölkerung mit ihrer persönlichen Überzeugung exklusiv zu beglücken .",person,C2022
195,klimaalarmist,"« Shellenbergers Erkenntnis : » Die Beweise sind überwältigend , dass unsere HochenergieZivilisation besser für Mensch und Natur ist als die NiedrigenergieZivilisation , zu der uns die KlimaAlarmisten zurückbringen würden .",person,C2022
243,klimaalarmist,"Ein weiterer Mythos welchen die Klimaalarmisten und Klimafolgenforscher verbreiten ist , dass die Waldbrandgefahr mit dem Klimawandel und zunehmender Dürre steigt .",person,C2022
160,klimaalarmist,"Falls wir jetzt Agenturen der [ US- ] Bundesregierung dazu bringen , gegen „ Klimaleugner "" zu ermitteln und diese zu verfolgen wegen „ falscher und irreführender Behauptungen "" , dann sollten wir verdammt nochmal das Gleiche auch den „ KlimaAlarmisten "" angedeihen lassen , welche unentwegt genau das Gleiche tun .",person,C2022
235,klimaalarmist,"Brown sagte , dass die Klimaalarmisten nicht argumentieren können , dass der jüngste starke Temperaturrückgang ein Beweis dafür sei , dass das Klima volatiler werde infolge des anthropogenen Klimawandels .",person,C2022
224,klimaalarmist,"Im folgenden Artikel geht es um spektakuläre LaborExperimente prominenter KlimaAlarmisten , die kritisch hinterfragt werden sollen .",person,C2022
244,klimaalarmist,"Wird es natürlich nicht , wie EIKELeser wissen , weil die Computermodelle der KlimaAlarmisten unterkomplex sind und alle Faktoren mit Ausnahme des atmosphärischen Kohlendioxid ignorieren .",person,C2022
169,klimaalarmist,"Aber wenn Sie ein Klimaalarmist sind , dann verwundert mich Ihre Feststellung nicht im geringsten ; o ) Übrigens:einen etwa ähnlichen Verlauf , Trend oder auch Nichttrend ; o ) kann man auch in meiner Heimat , dem Erzgebirge feststellen .",person,C2022
240,klimaalarmist,"Demgegenüber gerieten die KlimaAlarmisten und deren meist „ grüngleichgeschaltete "" Medien in regelrechte KatastrophenVerzückung .",person,C2022
147,klimaalarmist,"Wenn der KlimaAlarmist "" herumeiert "" , bestehen Sie auf der Nennung begutachteter Publikationen , die auf der Basis von Messungen noch nie vorgekommenen Klimaveränderungen seit im Vergleich mit den Zeiten davor nachweisen ( es gibt sie nicht ) . .",person,C2022
239,klimaalarmist,"Ja , das ist das Problem - zu viele der Skeptiker glauben den Unsinn der Klimaalarmisten , wollen aber beweisen , dass es doch nicht so schlimm kommt !",person,C2022
162,klimaalarmist,"Wie man dann darauf kommt , dass sie den für dann richtig "" wüssten "" , kann nur ein Klimaalarmist erklären .",person,C2022
175,klimaalarmist,"KlimaAlarmisten haben auf eine Art und Weise agiert , die genau die Antithese dessen ist , was Wissenschaft allgemein auszeichnet , um die Fragen über die Naturwelt zu beantworten zum Vorteil für die Menschheit .",person,C2022
139,klimaalarmist,"Man meint förmlich eine Hörigkeit gegenüber ihrem Blogmitarbeiter und ausgewiesenem Klimaalarmisten , Prof .",person,C2022
178,klimaalarmist,""" Seit mehr als Jahren prophezeien KlimaAlarmisten den Untergang und scheitern immer wieder mit ihren Vorhersagen .",person,C2022
192,klimaalarmist,"Jordan Peterson von der University of Toronto : „ Man kann den Daten nicht trauen "" , welche die Grundlage der Wissenschaft bilden , die von KlimaAlarmisten herangezogen werden , um von der Regierung Maßnahmen zu verlangen , den Verbrauch fossiler Treibstoffe zu beenden als Kampfmaßnahme gegen den Klimawandel .",person,C2022
225,klimaalarmist,Die Experimente der prominenten KlimaAlarmisten sind reine Demonstrationen .,person,C2022
231,klimaalarmist,"In der Region habe sich der Meeresspiegel nicht wie von Klimaalarmisten angekündigt , erhöht , sondern vermindert . von AR Göhring Unsere Redaktion fand kürzlich in den unendlichen Weiten des Internets ein lustiges Video , das den englischhöflichen und durchaus charmanten Lord Monckton , seines Zeichens Wikipediageprüfter „ rechter Klimaleugner "" , im fachlichen Disput mit einer Anhängerin von Greenpeace , Klima & Co zeigt .",person,C2022
158,klimaalarmist,( Natürlich sind das alles ganz böse Klimaalarmisten und die Fotos sind Fakes und mit Photoshop nachbearbeitet !,person,C2022
171,klimaalarmist,"Für Biden und andere westliche Klimaalarmisten müssen die Menschen und die Umwelt in anderen Ländern geopfert werden , um die Welt vor dem Klimawandel zu „ schützen "" und gleichzeitig die Annehmlichkeiten des Westens so weit wie möglich zu erhalten .",person,C2022
220,klimaalarmist,"Die KlimaAlarmisten machen die Menschen dafür verantwortlich , und die Skeptiker glauben , dass die Menschen dafür mehr oder weniger oder auch überhaupt nicht dafür verantwortlich sind .",person,C2022
202,klimaalarmist,Das bestreiten nicht einmal die Klimaalarmisten .,person,C2022
