,pattern,keyword,concept,origin
38,klimaaktivist,"Das auszumalen spare ich mir , FFF und andere Klimaaktivisten werden das schon studiert haben .",person,P2022
17,klimaaktivist,"Egal ob jung oder alt , klein oder groß , berufstätig , noch in der Ausbildung , arbeitslos oder in Rente , ob Veganer * in oder Fleischesser * in , bereits überzeugte * r Klimaaktivist * in oder zum ersten Mal auf einer Demo dabei - wir alle sind gefragt .",person,P2022
32,klimaaktivist,"Auch das klimarelevante Thema „ Verkehr "" war für % der Befragten von größter Bedeutung.Noch zwei Tage vor der Wahl gingen über Klimaaktivist * innen für mehr Klimaschutz auf die Straßen , darunter auch Greta Thunberg .",person,P2022
31,klimaaktivist,"Statt dessen nur Corona , … , die bösen Klimaaktivisten , … Wenn da nichts kommt , kann ich bei der nächsten Wahl niemand wählen .",person,P2022
49,klimaaktivist,Jahr Kohlekommision - Jahr Stillstand Vor einem Jahr standen sämtliche Klimaaktivist * innen vor dem Wirtschaftsministerium und haben zur Kohlekommission gestreikt und damit einen früheren und sozialverträglichen Kohleausstieg gefordert .,person,P2022
39,klimaaktivist,"Dies von Jemanden , der sich selbst wohl als Klimaaktivisten sieht , jedenfalls fürs ZDF an entlegene Orte reist , und dabei auch auf den Klimawandel hinweisen will , aber gleichzeitig in seiner Sendung die Grünen Baerbock und Habeck dermaßen aggressiv , geradezu inquisitorisch angreift , vor allen wegen deren Forderungen zur Klimapolitik , dass hinterher die Frankfurter Rundschau von einem einmaligen skandalösen Vorgang sprach und die sofortige Absetzung von Markus Lanz forderte !",person,P2022
21,klimaaktivist,"Liebe Klimakommentatoren / innen , liebe KlimaAktivisten , ihr Außenstehenden habt immer wieder was an Greta auszusetzen : hier , weil sie mit einer Segelyacgt über den Teich ist ; wäre sie geflogen hätte es auch Negativgelavere gegeben ; sollte die etwa rüberschwimmen ?",person,P2022
23,klimaaktivist,""" Auch in dem pazifischen Inselstaat Vanuatu haben Klimaaktivist * innen ihren Protest aufgrund von Corona und dem Zyklon Harold von der Straße ins Digitale legen müssen und sind dabei kreativ geworden : Sie nahmen Videos auf und schickten diese an lokale Fernseh- und Radiosender mit der Bitte diese in Werbepausen zu spielen .",person,P2022
28,klimaaktivist,"Des weiteren : G.OTT vor Gericht , angeklagt als Klimaaktivist , mit Friedrich Merz als Staatsanwalt !",person,P2022
9,klimaaktivist,"Wir als Fridays For Future Deutschland sind eine überparteiliche Bewegung gleichgesinnter Klimaaktivist * innen und solidarisieren uns mit allen , die sich friedlich für unsere Forderungen einsetzen .",person,P2022
10,klimaaktivist,"Wir als Weltöffentlichkeit müssen Menschen wie Marinel , Klimaaktivist * innen aus dem globalen Süden , die im Kampf für Klimagerechtigkeit ganz vorne stehen , mehr Aufmerksamkeit schenken und wir müssen von unseren politischen Entscheidungsträger * innen einfordern , dass ihre Forderungen umgesetzt werden .",person,P2022
52,klimaaktivist,Auffällig in der Rechten - insbesondere der AfD - ist auch die Hetze gegen junge Klimaaktivist * innen .,person,P2022
4,klimaaktivist,Am werden wir wieder gemeinsam mit Klimaaktivist * innen rund um die Welt für Klimaschutz streiken .,person,P2022
69,klimaaktivistin,"So berichtet zum Beispiel Mitzi Jonelle Tan , Klimaaktivistin von den Philippinen : „ Eine lebendige und konstante Erinnerung aus meiner Kindheit sind Tage des Abendessen bei Kerzenschein , weil wir aufgrund von Taifunen keinen Strom hatten .",person,P2022
75,klimaaktivistin,"Obwohl viele von uns nicht zu Ihrem Gipfel eingeladen waren , werden wir dafür sorgen , dass Sie uns trotzdem hören "" , so Mitzi Jonelle Tan , KlimaAktivistin von den Philippinen .",person,P2022
74,klimaaktivistin,""" Dabei schlägt den Klimaaktivistinnen am Anfang vor allem eines entgegen : Widerstand .",person,P2022
60,klimaaktivistin,"Nach dem Gespräch werden die Klimaaktivistinnen am Mittwoch um Uhr MEZ eine OnlinePressekonferenz abhalten , um über die GAPReform und das Treffen mit Herrn Timmermans zu sprechen .",person,P2022
76,klimaaktivistin,"Liebe Klimaaktivistinnen und Aktivisten , wenn es um Lebensgrundlagen geht , müssen weltweit alle Staaten dafür sorgen damit lebensfreundliche Energiegewinnungssysteme , neue ökologisch wertvolle Häuser und auch Transportsysteme entwickelt werden .",person,P2022
58,klimaaktivistin,"Die bekannte Klimaaktivistin Vanessa Nakate aus Uganda wandte sich nach dem Wahlsieg in einem eindringlichen Brief an die zukünftige BidenRegierung : „ Der Klimawandel betrifft so viele Leben von Menschen in meinem Land , ganz besonders von Kindern , Mädchen und Frauen . "" , schrieb sie .",person,P2022
56,klimaaktivistin,Vorbild für unsere Aktion ist die KlimaAktivistin Greta Thunberg .,person,P2022
61,klimaaktivistin,"Deutsch ( Übersetzung ) Ich bin Howey , ich bin Jahre alt und Klimaaktivistin aus Guilin , China .",person,P2022
63,klimaaktivistin,"April - : Uhr Correctiv Klimaredaktion - : Uhr Anselm Schindler , Make Rojava Green Again & Lina , Defend Rojava Komitee & Beriwan , Klimaaktivistin bei FFF RojavaRevolution und Internationalismus - : Uhr Verena Bax , NABU & Gerald Kaendler , Amprion Das Übertragungsnetz in Deutschland und Europa - aktueller Stand und Zukunft Freitag , .",person,P2022
