original,second_part,noun_forms,lemma,genus,compound_forms
klimawendehals,wendehals,"['wendehals', 'wendehalse', 'wendehälsen', 'wendehälse', 'wendehalses']",wendehals,m,"['klimawendehals', 'klimawendehalse', 'klimawendehälsen', 'klimawendehälse', 'klimawendehalses']"
klimawirklichkeit,wirklichkeit,"['wirklichkeit', 'wirklichkeiten']",wirklichkeit,f,"['klimawirklichkeit', 'klimawirklichkeiten']"
klimazar,zar,"['zar', 'zaren']",zar,m,"['klimazar', 'klimazaren']"
klimazerrüttung,zerrüttung,"['zerrüttung', 'zerrüttungen']",zerrüttung,f,"['klimazerrüttung', 'klimazerrüttungen']"
klimazerstörer,zerstörer,"['zerstörers', 'zerstörern', 'zerstörer']",zerstörer,m,"['klimazerstörers', 'klimazerstörern', 'klimazerstörer']"
klimazerstörung,zerstörung,"['zerstörung', 'zerstörungen']",zerstörung,f,"['klimazerstörung', 'klimazerstörungen']"
klimazeugs,zeugs,['zeugs'],zeugs,n,['klimazeugs']
klimazipfel,zipfel,"['zipfeln', 'zipfel', 'zipfels']",zipfel,m,"['klimazipfeln', 'klimazipfel', 'klimazipfels']"
klimazirkus,zirkus,"['zirkusse', 'zirkus', 'zirkussen', 'zirkusses']",zirkus,m,"['klimazirkusse', 'klimazirkus', 'klimazirkussen', 'klimazirkusses']"
klimazunft,zunft,"['zunft', 'zünfte', 'zünften']",zunft,f,"['klimazunft', 'klimazünfte', 'klimazünften']"
klimazwang,zwang,"['zwange', 'zwängen', 'zwangs', 'zwanges', 'zwang', 'zwänge']",zwang,m,"['klimazwange', 'klimazwängen', 'klimazwangs', 'klimazwanges', 'klimazwang', 'klimazwänge']"
klimaüberhitzung,überhitzung,"['überhitzungen', 'überhitzung']",überhitzung,f,"['klimaüberhitzungen', 'klimaüberhitzung']"
