original,second_part,noun_forms,lemma,genus,compound_forms
klimaintelligenz,intelligenz,"['intelligenz', 'intelligenzen']",intelligenz,f,"['klimaintelligenz', 'klimaintelligenzen']"
klimairrsinn,irrsinn,"['irrsinnes', 'irrsinns', 'irrsinn']",irrsinn,m,"['klimairrsinnes', 'klimairrsinns', 'klimairrsinn']"
klimajünger,jünger,"['jüngern', 'jüngers', 'jünger']",jünger,m,"['klimajüngern', 'klimajüngers', 'klimajünger']"
klimakabarett,kabarett,"['kabaretten', 'kabarett', 'kabarette', 'kabaretts']",kabarett,n,"['klimakabaretten', 'klimakabarett', 'klimakabarette', 'klimakabaretts']"
klimakaiserin,kaiserin,"['kaiserin', 'kaiserinnen']",kaiserin,f,"['klimakaiserin', 'klimakaiserinnen']"
klimakamarilla,kamarilla,"['kamarilla', 'kamarillen']",kamarilla,f,"['klimakamarilla', 'klimakamarillen']"
klimakampf,kampf,"['kampf', 'kampfs', 'kämpfen', 'kämpfe', 'kampfe', 'kampfes']",kampf,m,"['klimakampf', 'klimakampfs', 'klimakämpfen', 'klimakämpfe', 'klimakampfe', 'klimakampfes']"
klimakanzler,kanzler,"['kanzlern', 'kanzler', 'kanzlers']",kanzler,m,"['klimakanzlern', 'klimakanzler', 'klimakanzlers']"
klimakanzlerin,kanzlerin,"['kanzlerinnen', 'kanzlerin']",kanzlerin,f,"['klimakanzlerinnen', 'klimakanzlerin']"
klimakarawane,karawane,"['karawane', 'karawanen']",karawane,f,"['klimakarawane', 'klimakarawanen']"
klimakasteiung,kasteiung,"['kasteiung', 'kasteiungen']",kasteiung,f,"['klimakasteiung', 'klimakasteiungen']"
klimakataklysmus,kataklysmus,"['kataklysmus', 'kataklysmen']",kataklysmus,m,"['klimakataklysmus', 'klimakataklysmen']"
klimakatastrophentheorie,katastrophentheorie,"['katastrophentheorie', 'katastrophentheorien']",katastrophentheorie,f,"['klimakatastrophentheorie', 'klimakatastrophentheorien']"
klimakatechismus,katechismus,"['katechismen', 'katechismus']",katechismus,m,"['klimakatechismen', 'klimakatechismus']"
klimaketzer,ketzer,"['ketzer', 'ketzern', 'ketzers']",ketzer,m,"['klimaketzer', 'klimaketzern', 'klimaketzers']"
klimakirche,kirche,"['kirche', 'kirchen']",kirche,f,"['klimakirche', 'klimakirchen']"
klimaklamauk,klamauk,"['klamauk', 'klamauks']",klamauk,m,"['klimaklamauk', 'klimaklamauks']"
klimaklempner,klempner,"['klempner', 'klempnern', 'klempners']",klempner,m,"['klimaklempner', 'klimaklempnern', 'klimaklempners']"
klimakleriker,kleriker,"['klerikers', 'kleriker', 'klerikern']",kleriker,m,"['klimaklerikers', 'klimakleriker', 'klimaklerikern']"
klimakollekte,kollekte,"['kollekte', 'kollekten']",kollekte,f,"['klimakollekte', 'klimakollekten']"
klimakolonialismus,kolonialismus,['kolonialismus'],kolonialismus,m,['klimakolonialismus']
klimakommissar,kommissar,"['kommissar', 'kommissars', 'kommissaren', 'kommissare']",kommissar,m,"['klimakommissar', 'klimakommissars', 'klimakommissaren', 'klimakommissare']"
klimakompetenz,kompetenz,"['kompetenzen', 'kompetenz']",kompetenz,f,"['klimakompetenzen', 'klimakompetenz']"
klimakonfusion,konfusion,"['konfusionen', 'konfusion']",konfusion,f,"['klimakonfusionen', 'klimakonfusion']"
klimakonklave,konklave,"['konklave', 'konklaves', 'konklaven']",konklave,n,"['klimakonklave', 'klimakonklaves', 'klimakonklaven']"
klimakonsens,konsens,"['konsense', 'konsens', 'konsenses', 'konsensen']",konsens,m,"['klimakonsense', 'klimakonsens', 'klimakonsenses', 'klimakonsensen']"
klimakonsortium,konsortium,"['konsortium', 'konsortiums', 'konsortien']",konsortium,n,"['klimakonsortium', 'klimakonsortiums', 'klimakonsortien']"
klimakontrolle,kontrolle,"['kontrollen', 'kontrolle']",kontrolle,f,"['klimakontrollen', 'klimakontrolle']"
klimakontroverse,kontroverse,"['kontroversen', 'kontroverse']",kontroverse,f,"['klimakontroversen', 'klimakontroverse']"
klimakreationismus,kreationismus,['kreationismus'],kreationismus,m,['klimakreationismus']
klimakreuzzug,kreuzzug,"['kreuzzügen', 'kreuzzüge', 'kreuzzugs', 'kreuzzuge', 'kreuzzuges', 'kreuzzug']",kreuzzug,m,"['klimakreuzzügen', 'klimakreuzzüge', 'klimakreuzzugs', 'klimakreuzzuge', 'klimakreuzzuges', 'klimakreuzzug']"
klimakrieg,krieg,"['krieg', 'kriege', 'kriegs', 'kriegen', 'krieges']",krieg,m,"['klimakrieg', 'klimakriege', 'klimakriegs', 'klimakriegen', 'klimakrieges']"
klimakrieger,krieger,"['kriegers', 'kriegern', 'krieger']",krieger,m,"['klimakriegers', 'klimakriegern', 'klimakrieger']"
klimakritik,kritik,"['kritik', 'kritiken']",kritik,f,"['klimakritik', 'klimakritiken']"
klimakritiker,kritiker,"['kritikers', 'kritikern', 'kritiker']",kritiker,m,"['klimakritikers', 'klimakritikern', 'klimakritiker']"
klimakult,kult,"['kult', 'kultes', 'kulten', 'kults', 'kulte']",kult,m,"['klimakult', 'klimakultes', 'klimakulten', 'klimakults', 'klimakulte']"
klimakäse,käse,"['käsen', 'käse', 'käses']",käse,m,"['klimakäsen', 'klimakäse', 'klimakäses']"
klimakönigin,königin,"['königin', 'königinnen']",königin,f,"['klimakönigin', 'klimaköniginnen']"
klimalaie,laie,"['laien', 'laie']",laie,m,"['klimalaien', 'klimalaie']"
klimaleidenschaftlichkeit,leidenschaftlichkeit,"['leidenschaftlichkeiten', 'leidenschaftlichkeit']",leidenschaftlichkeit,f,"['klimaleidenschaftlichkeiten', 'klimaleidenschaftlichkeit']"
klimaleugner,leugner,"['leugner', 'leugners', 'leugnern']",leugner,m,"['klimaleugner', 'klimaleugners', 'klimaleugnern']"
klimaleugnung,leugnung,"['leugnung', 'leugnungen']",leugnung,f,"['klimaleugnung', 'klimaleugnungen']"
